product_name,product_type,brand,notable_effects,skintype,price,description,labels,Sensitive,Combination,Oily,Dry,Normal
Khadi Natural Skin Whitening Gel Cream #272,Cream,Forest Essentials,"Anti-Aging, Soothing, Hydrating",Combination,Rs 768,"This gel helps with Hydrating, Glow and suits Normal skin.",21,0,1,0,1,1
Himalaya Vitamin C Face Wash #273,Cleanser,Patanjali,"Brightening, Acne-Free, Nourishing",Dry,Rs 560,"This cleanser helps with Hydrating, Pore-Care and suits Oily skin.",21,1,1,0,0,1
Himalaya Skin Whitening Gel Cream #274,Gel,Khadi Natural,"Brightening, Nourishing, Acne-Free",Oily,Rs 862,"This mask helps with Pore-Care, Anti-Aging and suits Combination skin.",10,0,1,1,1,0
Mamaearth Herbal Face Wash #275,Cleanser,Forest Essentials,"Glow, Acne-Free, Anti-Aging",Combination,Rs 386,"This gel helps with Anti-Aging, Brightening and suits Normal skin.",10,1,1,0,0,0
VLCC Potion Face Wash #276,Cream,Mamaearth,"Refreshing, Pore-Care, Nourishing",Sensitive,Rs 377,"This gel helps with Glow, Brightening and suits Combination skin.",24,0,1,1,1,1
Lotus Herbals Aloe Vera Gel #277,Cleanser,Forest Essentials,"Deep Clean, Pore-Care, Acne-Free",Normal,Rs 318,"This cream helps with Deep Clean, Refreshing and suits Combination skin.",18,1,1,0,0,0
Mamaearth Skin Whitening Gel Cream #278,Cream,Patanjali,"Acne-Free, Pore-Care, Anti-Aging",Dry,Rs 256,"This face wash helps with Anti-Aging, Acne-Free and suits Dry skin.",21,1,0,0,1,1
VLCC Skin Whitening Gel Cream #279,Cream,Lakme,"Nourishing, Glow, Pore-Care",Sensitive,Rs 678,"This gel helps with Hydrating, Glow and suits Oily skin.",22,1,0,0,0,1
Biotique Vitamin C Face Wash #280,Mask,Mamaearth,"Brightening, Soothing, Anti-Aging",Combination,Rs 909,"This cream helps with Pore-Care, Anti-Aging and suits Oily skin.",15,0,0,0,1,0
VLCC Aloe Vera Gel #281,Face Wash,Mamaearth,"Refreshing, Brightening, Deep Clean",Combination,Rs 870,"This cleanser helps with Acne-Free, Nourishing and suits Sensitive skin.",24,1,1,0,1,0
Forest Essentials Aloe Vera Gel #282,Face Wash,Mamaearth,"Hydrating, Pore-Care, Soothing",Normal,Rs 350,"This mask helps with Brightening, Anti-Aging and suits Normal skin.",20,1,0,1,0,0
Patanjali Skin Brightening Face Wash #283,Face Wash,Khadi Natural,"Pore-Care, Hydrating, Soothing",Oily,Rs 608,"This cream helps with Acne-Free, Glow and suits Dry skin.",22,1,0,1,0,1
Patanjali Blush & Glow Face Wash #284,Face Wash,Forest Essentials,"Refreshing, Soothing, Brightening",Normal,Rs 792,"This face wash helps with Deep Clean, Brightening and suits Dry skin.",13,1,1,1,0,0
VLCC Vitamin C Face Wash #285,Gel,Lakme,"Brightening, Nourishing, Soothing",Normal,Rs 917,"This mask helps with Soothing, Pore-Care and suits Oily skin.",18,1,1,0,1,1
Biotique Herbal Face Wash #286,Cleanser,Patanjali,"Pore-Care, Anti-Aging, Glow",Dry,Rs 685,"This face wash helps with Nourishing, Soothing and suits Normal skin.",12,0,0,0,0,1
Lakme Skin Whitening Gel Cream #287,Mask,Patanjali,"Deep Clean, Acne-Free, Soothing",Normal,Rs 973,"This mask helps with Acne-Free, Glow and suits Combination skin.",22,1,1,0,1,1
Forest Essentials Potion Face Wash #288,Face Wash,Khadi Natural,"Pore-Care, Acne-Free, Refreshing",Oily,Rs 502,"This face wash helps with Deep Clean, Pore-Care and suits Oily skin.",21,0,1,1,1,0
Himalaya Potion Face Wash #289,Cleanser,Mamaearth,"Hydrating, Nourishing, Refreshing",Combination,Rs 359,"This mask helps with Brightening, Deep Clean and suits Sensitive skin.",12,1,1,1,1,1
Khadi Natural Radiance Cream #290,Cream,Lakme,"Hydrating, Nourishing, Soothing",Combination,Rs 718,"This gel helps with Refreshing, Acne-Free and suits Normal skin.",16,0,0,1,1,1
Mamaearth Potion Face Wash #291,Face Wash,Mamaearth,"Brightening, Hydrating, Soothing",Sensitive,Rs 426,"This face wash helps with Brightening, Glow and suits Combination skin.",19,0,1,0,0,1
Patanjali Aloe Vera Gel #292,Gel,Mamaearth,"Pore-Care, Anti-Aging, Glow",Normal,Rs 531,"This cream helps with Deep Clean, Acne-Free and suits Normal skin.",13,1,1,0,1,0
Mamaearth Blush & Glow Face Wash #293,Cream,Patanjali,"Hydrating, Glow, Brightening",Sensitive,Rs 261,"This face wash helps with Deep Clean, Pore-Care and suits Sensitive skin.",12,1,0,1,0,1
Nykaa Radiance Cream #294,Cleanser,Lotus Herbals,"Nourishing, Acne-Free, Deep Clean",Dry,Rs 672,"This face wash helps with Brightening, Soothing and suits Oily skin.",18,0,0,1,1,0
VLCC Blush & Glow Face Wash #295,Cleanser,Forest Essentials,"Soothing, Brightening, Refreshing",Oily,Rs 651,"This cream helps with Anti-Aging, Nourishing and suits Normal skin.",22,1,1,0,0,0
VLCC Skin Brightening Face Wash #296,Face Wash,Nykaa,"Deep Clean, Hydrating, Refreshing",Sensitive,Rs 127,"This cleanser helps with Acne-Free, Hydrating and suits Sensitive skin.",20,0,1,1,0,1
VLCC Neem Face Wash #297,Cleanser,VLCC,"Acne-Free, Glow, Deep Clean",Sensitive,Rs 115,"This cream helps with Soothing, Refreshing and suits Combination skin.",17,1,0,0,1,1
Khadi Natural Skin Whitening Gel Cream #298,Face Wash,VLCC,"Pore-Care, Soothing, Nourishing",Combination,Rs 768,"This cleanser helps with Soothing, Refreshing and suits Sensitive skin.",21,0,0,0,0,0
Himalaya Vitamin C Face Wash #299,Face Wash,VLCC,"Pore-Care, Hydrating, Anti-Aging",Oily,Rs 929,"This cleanser helps with Soothing, Anti-Aging and suits Normal skin.",15,1,0,1,1,1
Patanjali Neem Face Wash #300,Mask,VLCC,"Nourishing, Refreshing, Anti-Aging",Oily,Rs 548,"This gel helps with Hydrating, Soothing and suits Combination skin.",17,1,1,1,0,0
Khadi Natural Blush & Glow Face Wash #301,Mask,Lakme,"Glow, Soothing, Pore-Care",Normal,Rs 114,"This face wash helps with Soothing, Deep Clean and suits Combination skin.",10,0,1,0,1,1
Lotus Herbals Potion Face Wash #302,Gel,Mamaearth,"Brightening, Anti-Aging, Pore-Care",Normal,Rs 714,"This gel helps with Pore-Care, Hydrating and suits Dry skin.",21,0,1,0,1,1
Mamaearth Aloe Vera Gel #303,Face Wash,Mamaearth,"Soothing, Brightening, Nourishing",Sensitive,Rs 902,"This cream helps with Deep Clean, Glow and suits Oily skin.",20,1,0,0,1,0
Forest Essentials Skin Whitening Gel Cream #304,Cream,Lotus Herbals,"Anti-Aging, Nourishing, Deep Clean",Normal,Rs 263,"This mask helps with Refreshing, Anti-Aging and suits Dry skin.",17,0,0,0,0,0
Biotique Skin Whitening Gel Cream #305,Mask,Himalaya,"Deep Clean, Anti-Aging, Nourishing",Sensitive,Rs 299,"This cleanser helps with Acne-Free, Soothing and suits Oily skin.",10,1,0,0,1,1
Biotique Potion Face Wash #306,Gel,Lotus Herbals,"Deep Clean, Refreshing, Anti-Aging",Sensitive,Rs 872,"This cleanser helps with Deep Clean, Brightening and suits Sensitive skin.",17,1,0,1,0,1
Biotique Blush & Glow Face Wash #307,Mask,Patanjali,"Soothing, Brightening, Nourishing",Sensitive,Rs 907,"This gel helps with Acne-Free, Soothing and suits Dry skin.",13,1,0,1,1,1
Khadi Natural Potion Face Wash #308,Mask,Khadi Natural,"Refreshing, Glow, Anti-Aging",Combination,Rs 245,"This mask helps with Soothing, Hydrating and suits Sensitive skin.",14,0,1,0,0,0
Lotus Herbals Herbal Face Wash #309,Face Wash,Lakme,"Glow, Nourishing, Acne-Free",Dry,Rs 632,"This gel helps with Pore-Care, Glow and suits Dry skin.",10,1,0,1,0,1
VLCC Herbal Face Wash #310,Cleanser,Mamaearth,"Soothing, Refreshing, Hydrating",Oily,Rs 640,"This gel helps with Deep Clean, Soothing and suits Oily skin.",21,0,1,0,0,1
Lotus Herbals Neem Face Wash #311,Cleanser,Forest Essentials,"Brightening, Acne-Free, Glow",Combination,Rs 916,"This cleanser helps with Hydrating, Soothing and suits Normal skin.",19,1,1,1,0,0
Khadi Natural Vitamin C Face Wash #312,Cleanser,Mamaearth,"Nourishing, Deep Clean, Glow",Normal,Rs 518,"This cleanser helps with Glow, Nourishing and suits Oily skin.",10,0,0,0,1,1
Mamaearth Herbal Face Wash #313,Cream,Lakme,"Brightening, Hydrating, Deep Clean",Normal,Rs 526,"This face wash helps with Nourishing, Anti-Aging and suits Oily skin.",18,0,0,1,1,0
Mamaearth Radiance Cream #314,Cleanser,Forest Essentials,"Anti-Aging, Pore-Care, Refreshing",Dry,Rs 330,"This cream helps with Nourishing, Deep Clean and suits Normal skin.",13,1,0,1,0,1
Mamaearth Herbal Face Wash #315,Gel,Nykaa,"Hydrating, Pore-Care, Nourishing",Sensitive,Rs 885,"This face wash helps with Brightening, Pore-Care and suits Normal skin.",10,1,1,1,1,0
Forest Essentials Herbal Face Wash #316,Cream,Forest Essentials,"Nourishing, Pore-Care, Glow",Dry,Rs 872,"This gel helps with Pore-Care, Refreshing and suits Dry skin.",15,0,1,0,0,0
Forest Essentials Skin Brightening Face Wash #317,Gel,Biotique,"Refreshing, Pore-Care, Glow",Normal,Rs 578,"This mask helps with Brightening, Pore-Care and suits Normal skin.",10,1,0,0,1,1
Mamaearth Blush & Glow Face Wash #318,Gel,Mamaearth,"Deep Clean, Refreshing, Nourishing",Normal,Rs 298,"This gel helps with Glow, Anti-Aging and suits Sensitive skin.",14,0,0,0,0,1
VLCC Blush & Glow Face Wash #319,Gel,Biotique,"Deep Clean, Refreshing, Anti-Aging",Oily,Rs 928,"This mask helps with Soothing, Pore-Care and suits Oily skin.",22,0,0,0,0,0
Khadi Natural Skin Brightening Face Wash #320,Cream,Nykaa,"Pore-Care, Deep Clean, Hydrating",Oily,Rs 989,"This face wash helps with Glow, Pore-Care and suits Normal skin.",12,0,0,0,0,1
Lakme Skin Whitening Gel Cream #321,Cream,Himalaya,"Hydrating, Glow, Brightening",Combination,Rs 371,"This cream helps with Nourishing, Refreshing and suits Dry skin.",18,0,0,0,0,0
Khadi Natural Skin Brightening Face Wash #322,Cream,Nykaa,"Hydrating, Soothing, Anti-Aging",Normal,Rs 423,"This cream helps with Pore-Care, Nourishing and suits Oily skin.",18,1,0,1,0,0
Nykaa Neem Face Wash #323,Gel,Lakme,"Brightening, Glow, Deep Clean",Normal,Rs 321,"This mask helps with Anti-Aging, Glow and suits Oily skin.",19,1,0,1,0,1
Nykaa Skin Brightening Face Wash #324,Face Wash,Himalaya,"Deep Clean, Refreshing, Anti-Aging",Oily,Rs 994,"This mask helps with Hydrating, Brightening and suits Dry skin.",13,1,0,0,1,0
Khadi Natural Advanced Fairness Face Wash #325,Face Wash,Patanjali,"Hydrating, Anti-Aging, Refreshing",Sensitive,Rs 229,"This gel helps with Pore-Care, Refreshing and suits Sensitive skin.",18,0,0,0,0,0
VLCC Neem Face Wash #326,Cleanser,Nykaa,"Soothing, Refreshing, Acne-Free",Sensitive,Rs 800,"This cream helps with Brightening, Deep Clean and suits Dry skin.",12,0,0,1,0,1
Lakme Radiance Cream #327,Face Wash,VLCC,"Nourishing, Soothing, Pore-Care",Dry,Rs 903,"This cream helps with Anti-Aging, Pore-Care and suits Oily skin.",18,1,0,1,0,0
Nykaa Advanced Fairness Face Wash #328,Cleanser,Nykaa,"Refreshing, Pore-Care, Deep Clean",Dry,Rs 256,"This cleanser helps with Pore-Care, Brightening and suits Dry skin.",18,1,1,0,0,0
Biotique Skin Whitening Gel Cream #329,Mask,Himalaya,"Brightening, Refreshing, Anti-Aging",Combination,Rs 773,"This face wash helps with Deep Clean, Pore-Care and suits Sensitive skin.",20,1,0,0,0,0
Lakme Advanced Fairness Face Wash #330,Face Wash,Lotus Herbals,"Deep Clean, Hydrating, Acne-Free",Dry,Rs 912,"This gel helps with Refreshing, Soothing and suits Combination skin.",20,0,1,0,0,1
VLCC Aloe Vera Gel #331,Mask,Himalaya,"Anti-Aging, Deep Clean, Nourishing",Sensitive,Rs 829,"This mask helps with Hydrating, Nourishing and suits Normal skin.",17,1,0,0,0,1
Forest Essentials Skin Whitening Gel Cream #332,Cream,Biotique,"Anti-Aging, Brightening, Soothing",Normal,Rs 834,"This cleanser helps with Soothing, Brightening and suits Combination skin.",17,0,1,0,1,1
Mamaearth Blush & Glow Face Wash #333,Mask,Forest Essentials,"Pore-Care, Acne-Free, Refreshing",Sensitive,Rs 532,"This gel helps with Deep Clean, Pore-Care and suits Combination skin.",19,1,0,1,0,1
VLCC Blush & Glow Face Wash #334,Face Wash,Lakme,"Soothing, Anti-Aging, Pore-Care",Oily,Rs 741,"This mask helps with Soothing, Hydrating and suits Combination skin.",18,0,1,1,1,0
Lakme Skin Whitening Gel Cream #335,Cleanser,Nykaa,"Deep Clean, Brightening, Hydrating",Normal,Rs 790,"This gel helps with Anti-Aging, Brightening and suits Oily skin.",24,1,0,0,0,1
Mamaearth Skin Brightening Face Wash #336,Mask,Himalaya,"Brightening, Refreshing, Deep Clean",Sensitive,Rs 451,"This mask helps with Refreshing, Pore-Care and suits Normal skin.",23,0,0,0,0,0
Biotique Radiance Cream #337,Gel,Mamaearth,"Glow, Hydrating, Refreshing",Dry,Rs 132,"This mask helps with Anti-Aging, Pore-Care and suits Combination skin.",15,1,1,0,1,1
Patanjali Blush & Glow Face Wash #338,Cream,Mamaearth,"Hydrating, Nourishing, Refreshing",Dry,Rs 148,"This cream helps with Pore-Care, Anti-Aging and suits Sensitive skin.",18,0,0,1,0,1
Nykaa Blush & Glow Face Wash #339,Gel,Himalaya,"Anti-Aging, Acne-Free, Pore-Care",Combination,Rs 648,"This gel helps with Pore-Care, Deep Clean and suits Sensitive skin.",11,1,1,1,1,1
Forest Essentials Skin Brightening Face Wash #340,Cream,Patanjali,"Acne-Free, Soothing, Brightening",Dry,Rs 237,"This gel helps with Refreshing, Brightening and suits Normal skin.",23,1,0,0,1,0
Lakme Advanced Fairness Face Wash #341,Cleanser,Khadi Natural,"Acne-Free, Glow, Nourishing",Sensitive,Rs 117,"This cream helps with Nourishing, Brightening and suits Normal skin.",16,1,1,1,1,1
Patanjali Herbal Face Wash #342,Cleanser,Patanjali,"Glow, Nourishing, Soothing",Sensitive,Rs 166,"This face wash helps with Pore-Care, Deep Clean and suits Sensitive skin.",10,1,1,0,1,1
Mamaearth Skin Whitening Gel Cream #343,Cleanser,Nykaa,"Hydrating, Pore-Care, Anti-Aging",Sensitive,Rs 559,"This cleanser helps with Glow, Soothing and suits Normal skin.",24,0,1,1,1,0
Nykaa Blush & Glow Face Wash #344,Cream,Lotus Herbals,"Acne-Free, Soothing, Glow",Combination,Rs 519,"This face wash helps with Brightening, Soothing and suits Normal skin.",22,1,1,1,1,0
Lotus Herbals Neem Face Wash #345,Mask,Mamaearth,"Soothing, Hydrating, Acne-Free",Normal,Rs 223,"This cleanser helps with Soothing, Anti-Aging and suits Dry skin.",13,0,1,1,0,0
Himalaya Blush & Glow Face Wash #346,Cream,Mamaearth,"Acne-Free, Soothing, Nourishing",Dry,Rs 149,"This mask helps with Anti-Aging, Pore-Care and suits Sensitive skin.",13,0,1,0,0,0
Khadi Natural Radiance Cream #347,Mask,Mamaearth,"Hydrating, Pore-Care, Brightening",Combination,Rs 325,"This cream helps with Hydrating, Brightening and suits Dry skin.",19,1,0,0,0,1
Lakme Skin Whitening Gel Cream #348,Cleanser,Khadi Natural,"Soothing, Hydrating, Deep Clean",Normal,Rs 349,"This gel helps with Hydrating, Pore-Care and suits Sensitive skin.",20,0,1,0,1,1
Forest Essentials Herbal Face Wash #349,Cream,Lakme,"Refreshing, Hydrating, Anti-Aging",Dry,Rs 120,"This face wash helps with Acne-Free, Brightening and suits Combination skin.",13,1,1,0,0,0
Khadi Natural Skin Whitening Gel Cream #350,Mask,Himalaya,"Refreshing, Pore-Care, Nourishing",Oily,Rs 759,"This gel helps with Brightening, Pore-Care and suits Dry skin.",11,1,0,1,1,1
Nykaa Vitamin C Face Wash #351,Gel,Khadi Natural,"Acne-Free, Hydrating, Brightening",Dry,Rs 258,"This gel helps with Glow, Pore-Care and suits Combination skin.",23,0,0,0,0,1
Khadi Natural Aloe Vera Gel #352,Face Wash,Nykaa,"Soothing, Brightening, Deep Clean",Sensitive,Rs 728,"This cleanser helps with Glow, Brightening and suits Normal skin.",12,0,1,1,1,1
Nykaa Vitamin C Face Wash #353,Cream,Mamaearth,"Anti-Aging, Hydrating, Glow",Sensitive,Rs 415,"This face wash helps with Glow, Nourishing and suits Sensitive skin.",14,0,1,0,1,0
Biotique Herbal Face Wash #354,Cream,Khadi Natural,"Deep Clean, Pore-Care, Anti-Aging",Dry,Rs 307,"This mask helps with Soothing, Brightening and suits Dry skin.",15,1,0,1,0,0
Nykaa Vitamin C Face Wash #355,Cream,Forest Essentials,"Brightening, Hydrating, Acne-Free",Sensitive,Rs 285,"This gel helps with Deep Clean, Refreshing and suits Oily skin.",21,0,1,0,0,0
Nykaa Neem Face Wash #356,Cream,Lotus Herbals,"Pore-Care, Acne-Free, Hydrating",Normal,Rs 321,"This gel helps with Deep Clean, Pore-Care and suits Dry skin.",17,0,1,1,0,1
Patanjali Blush & Glow Face Wash #357,Cleanser,Nykaa,"Glow, Refreshing, Hydrating",Dry,Rs 873,"This cream helps with Nourishing, Anti-Aging and suits Combination skin.",24,1,1,0,1,1
Khadi Natural Neem Face Wash #358,Face Wash,Mamaearth,"Soothing, Deep Clean, Glow",Dry,Rs 335,"This cleanser helps with Hydrating, Brightening and suits Oily skin.",16,0,1,1,1,1
Himalaya Aloe Vera Gel #359,Mask,Nykaa,"Anti-Aging, Refreshing, Glow",Normal,Rs 267,"This cream helps with Refreshing, Glow and suits Sensitive skin.",20,0,0,0,1,0
Mamaearth Skin Whitening Gel Cream #360,Gel,Mamaearth,"Deep Clean, Acne-Free, Refreshing",Normal,Rs 387,"This mask helps with Brightening, Anti-Aging and suits Normal skin.",20,1,0,0,0,0
Khadi Natural Advanced Fairness Face Wash #361,Gel,Lotus Herbals,"Hydrating, Refreshing, Nourishing",Dry,Rs 958,"This mask helps with Brightening, Refreshing and suits Oily skin.",11,0,1,1,1,0
Himalaya Blush & Glow Face Wash #362,Face Wash,VLCC,"Acne-Free, Refreshing, Hydrating",Dry,Rs 732,"This gel helps with Brightening, Acne-Free and suits Normal skin.",14,0,1,0,1,0
Forest Essentials Advanced Fairness Face Wash #363,Face Wash,Biotique,"Pore-Care, Acne-Free, Hydrating",Oily,Rs 448,"This face wash helps with Acne-Free, Hydrating and suits Oily skin.",19,0,1,0,0,1
VLCC Blush & Glow Face Wash #364,Gel,VLCC,"Soothing, Acne-Free, Glow",Normal,Rs 292,"This face wash helps with Deep Clean, Acne-Free and suits Normal skin.",16,0,0,0,0,1
Khadi Natural Vitamin C Face Wash #365,Cream,Nykaa,"Hydrating, Glow, Nourishing",Combination,Rs 624,"This gel helps with Refreshing, Brightening and suits Combination skin.",11,0,1,1,0,0
Mamaearth Aloe Vera Gel #366,Gel,Khadi Natural,"Acne-Free, Soothing, Refreshing",Combination,Rs 439,"This cleanser helps with Hydrating, Glow and suits Normal skin.",18,0,1,1,1,0
Forest Essentials Advanced Fairness Face Wash #367,Cream,Biotique,"Hydrating, Pore-Care, Refreshing",Dry,Rs 320,"This mask helps with Soothing, Brightening and suits Sensitive skin.",14,1,1,1,0,1
Nykaa Vitamin C Face Wash #368,Mask,Lakme,"Glow, Soothing, Pore-Care",Normal,Rs 542,"This mask helps with Refreshing, Anti-Aging and suits Normal skin.",24,1,1,1,1,0
Forest Essentials Skin Whitening Gel Cream #369,Cleanser,Patanjali,"Anti-Aging, Acne-Free, Hydrating",Oily,Rs 659,"This gel helps with Hydrating, Soothing and suits Combination skin.",14,0,0,0,0,1
Forest Essentials Herbal Face Wash #370,Cream,Lotus Herbals,"Pore-Care, Acne-Free, Hydrating",Dry,Rs 261,"This mask helps with Acne-Free, Hydrating and suits Normal skin.",13,1,0,1,1,0
Biotique Vitamin C Face Wash #371,Cleanser,VLCC,"Soothing, Deep Clean, Glow",Dry,Rs 899,"This mask helps with Nourishing, Deep Clean and suits Sensitive skin.",17,1,1,1,0,1
Lotus Herbals Radiance Cream #372,Mask,Forest Essentials,"Pore-Care, Acne-Free, Brightening",Dry,Rs 301,"This cream helps with Glow, Soothing and suits Normal skin.",11,1,1,0,1,1
Lakme Aloe Vera Gel #373,Cream,Patanjali,"Deep Clean, Anti-Aging, Pore-Care",Sensitive,Rs 319,"This cream helps with Soothing, Brightening and suits Normal skin.",19,0,0,1,0,1
Lotus Herbals Skin Whitening Gel Cream #374,Cream,Lakme,"Refreshing, Acne-Free, Glow",Oily,Rs 965,"This cleanser helps with Hydrating, Acne-Free and suits Normal skin.",23,1,1,1,1,0
Lotus Herbals Herbal Face Wash #375,Cream,VLCC,"Soothing, Hydrating, Anti-Aging",Sensitive,Rs 698,"This gel helps with Brightening, Pore-Care and suits Dry skin.",14,1,0,1,1,0
Himalaya Potion Face Wash #376,Face Wash,Lotus Herbals,"Nourishing, Refreshing, Acne-Free",Normal,Rs 953,"This cleanser helps with Soothing, Glow and suits Sensitive skin.",15,0,1,0,1,0
Khadi Natural Aloe Vera Gel #377,Gel,Patanjali,"Acne-Free, Anti-Aging, Deep Clean",Normal,Rs 206,"This face wash helps with Nourishing, Deep Clean and suits Dry skin.",10,1,0,1,0,0
Khadi Natural Herbal Face Wash #378,Gel,Patanjali,"Hydrating, Refreshing, Nourishing",Oily,Rs 240,"This face wash helps with Soothing, Acne-Free and suits Sensitive skin.",18,0,1,1,1,0
Lakme Herbal Face Wash #379,Face Wash,Khadi Natural,"Pore-Care, Anti-Aging, Refreshing",Combination,Rs 894,"This face wash helps with Hydrating, Anti-Aging and suits Sensitive skin.",14,0,0,0,1,1
Patanjali Skin Whitening Gel Cream #380,Mask,Mamaearth,"Glow, Acne-Free, Nourishing",Oily,Rs 920,"This mask helps with Nourishing, Pore-Care and suits Sensitive skin.",17,0,0,0,1,1
Nykaa Skin Brightening Face Wash #381,Cleanser,Himalaya,"Glow, Pore-Care, Brightening",Normal,Rs 622,"This face wash helps with Anti-Aging, Brightening and suits Sensitive skin.",23,1,0,1,1,0
VLCC Potion Face Wash #382,Face Wash,Forest Essentials,"Refreshing, Brightening, Pore-Care",Sensitive,Rs 958,"This cream helps with Acne-Free, Brightening and suits Oily skin.",13,0,0,1,0,1
Mamaearth Advanced Fairness Face Wash #383,Face Wash,Lakme,"Glow, Hydrating, Brightening",Combination,Rs 701,"This cream helps with Glow, Deep Clean and suits Sensitive skin.",15,0,1,1,0,1
Khadi Natural Aloe Vera Gel #384,Mask,Nykaa,"Hydrating, Glow, Deep Clean",Normal,Rs 582,"This cleanser helps with Pore-Care, Soothing and suits Oily skin.",14,0,0,1,0,0
Himalaya Potion Face Wash #385,Face Wash,Khadi Natural,"Refreshing, Hydrating, Brightening",Normal,Rs 146,"This gel helps with Hydrating, Nourishing and suits Sensitive skin.",19,0,0,1,0,0
Khadi Natural Radiance Cream #386,Cream,Khadi Natural,"Glow, Soothing, Refreshing",Dry,Rs 943,"This face wash helps with Deep Clean, Pore-Care and suits Oily skin.",11,0,1,0,1,1
Khadi Natural Vitamin C Face Wash #387,Cream,Patanjali,"Refreshing, Deep Clean, Glow",Dry,Rs 669,"This mask helps with Hydrating, Refreshing and suits Dry skin.",24,1,0,0,0,0
Patanjali Neem Face Wash #388,Cream,VLCC,"Glow, Pore-Care, Anti-Aging",Combination,Rs 250,"This face wash helps with Anti-Aging, Refreshing and suits Sensitive skin.",24,1,1,0,0,0
Biotique Skin Brightening Face Wash #389,Cleanser,Khadi Natural,"Nourishing, Brightening, Refreshing",Oily,Rs 976,"This cleanser helps with Refreshing, Anti-Aging and suits Normal skin.",13,0,1,1,0,1
Patanjali Skin Whitening Gel Cream #390,Cream,Forest Essentials,"Brightening, Pore-Care, Refreshing",Normal,Rs 273,"This cleanser helps with Pore-Care, Deep Clean and suits Dry skin.",13,0,1,0,0,1
Patanjali Radiance Cream #391,Mask,VLCC,"Soothing, Anti-Aging, Brightening",Normal,Rs 817,"This face wash helps with Hydrating, Soothing and suits Dry skin.",12,1,0,0,1,0
Mamaearth Skin Whitening Gel Cream #392,Gel,Patanjali,"Glow, Brightening, Nourishing",Oily,Rs 344,"This cream helps with Anti-Aging, Brightening and suits Dry skin.",11,1,1,1,1,1
Mamaearth Neem Face Wash #393,Mask,Biotique,"Pore-Care, Anti-Aging, Acne-Free",Normal,Rs 592,"This mask helps with Anti-Aging, Refreshing and suits Oily skin.",16,0,1,0,1,1
Biotique Aloe Vera Gel #394,Mask,Khadi Natural,"Soothing, Acne-Free, Deep Clean",Combination,Rs 421,"This gel helps with Pore-Care, Anti-Aging and suits Dry skin.",13,0,0,0,0,0
VLCC Herbal Face Wash #395,Cleanser,Nykaa,"Acne-Free, Nourishing, Anti-Aging",Oily,Rs 213,"This cleanser helps with Hydrating, Anti-Aging and suits Oily skin.",17,1,0,1,0,0
Khadi Natural Vitamin C Face Wash #396,Cream,Biotique,"Glow, Anti-Aging, Acne-Free",Oily,Rs 858,"This gel helps with Hydrating, Refreshing and suits Sensitive skin.",19,0,1,1,1,0
Mamaearth Radiance Cream #397,Cleanser,Khadi Natural,"Glow, Soothing, Pore-Care",Dry,Rs 372,"This cleanser helps with Hydrating, Acne-Free and suits Oily skin.",11,1,0,0,1,1
Lotus Herbals Blush & Glow Face Wash #398,Cream,VLCC,"Pore-Care, Anti-Aging, Brightening",Normal,Rs 490,"This cream helps with Pore-Care, Refreshing and suits Sensitive skin.",19,0,0,1,0,1
Mamaearth Vitamin C Face Wash #399,Cream,Lotus Herbals,"Hydrating, Refreshing, Brightening",Normal,Rs 157,"This cleanser helps with Acne-Free, Nourishing and suits Oily skin.",18,0,1,0,1,1
Mamaearth Advanced Fairness Face Wash #400,Gel,Lakme,"Refreshing, Acne-Free, Glow",Sensitive,Rs 220,"This mask helps with Refreshing, Deep Clean and suits Normal skin.",15,1,1,1,0,0
Mamaearth Potion Face Wash #401,Cream,Lakme,"Deep Clean, Pore-Care, Brightening",Dry,Rs 309,"This mask helps with Soothing, Acne-Free and suits Oily skin.",15,1,1,0,0,0
Forest Essentials Radiance Cream #402,Cleanser,Biotique,"Glow, Brightening, Deep Clean",Sensitive,Rs 519,"This mask helps with Anti-Aging, Deep Clean and suits Normal skin.",18,1,1,1,0,0
Lotus Herbals Neem Face Wash #403,Gel,Nykaa,"Anti-Aging, Brightening, Glow",Sensitive,Rs 682,"This cleanser helps with Refreshing, Nourishing and suits Oily skin.",10,1,0,1,1,0
Mamaearth Aloe Vera Gel #404,Mask,Forest Essentials,"Refreshing, Acne-Free, Deep Clean",Combination,Rs 858,"This face wash helps with Deep Clean, Glow and suits Normal skin.",15,1,1,0,0,1
VLCC Aloe Vera Gel #405,Cleanser,VLCC,"Refreshing, Acne-Free, Soothing",Oily,Rs 784,"This face wash helps with Acne-Free, Soothing and suits Combination skin.",16,0,0,0,1,0
Mamaearth Aloe Vera Gel #406,Cleanser,Forest Essentials,"Soothing, Glow, Refreshing",Normal,Rs 415,"This mask helps with Acne-Free, Hydrating and suits Sensitive skin.",20,1,0,0,0,1
Khadi Natural Skin Brightening Face Wash #407,Cleanser,Lotus Herbals,"Refreshing, Pore-Care, Acne-Free",Sensitive,Rs 123,"This cream helps with Pore-Care, Hydrating and suits Dry skin.",17,0,1,0,0,0
Mamaearth Radiance Cream #408,Mask,Mamaearth,"Brightening, Soothing, Deep Clean",Combination,Rs 205,"This face wash helps with Anti-Aging, Acne-Free and suits Dry skin.",22,0,1,1,0,1
